,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
9227,Sealed Graffiti | Recoil P90 (Princess Pink),,d2d2d2,3.79,1.9500000000000002,1,LOW_SALES_3PLUS_MONTHS,5.0,0,0,0,12,,,,,,0,0
9228,Sealed Graffiti | Recoil P90 (Shark White),b0c3d9,d2d2d2,3.95,3.63,1,LOW_SALES_3PLUS_MONTHS,8.0,0,0,1,12,,graffiti,sealed graffiti,base grade,normal,0,0
9229,Sealed Graffiti | Recoil P90 (Wire Blue),,d2d2d2,4.31,3.18,1,LOW_SALES_3PLUS_MONTHS,6.0,0,0,0,18,,,,,,0,0
9230,Sealed Graffiti | Recoil PP-Bizon (Battle Green),,d2d2d2,2.7,2.06,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,4,8,,,,,,0,0
9231,Sealed Graffiti | Recoil PP-Bizon (Blood Red),,d2d2d2,4.05,1.49,1,LOW_SALES_3PLUS_MONTHS,8.0,0,1,3,29,,,,,,0,0
9232,Sealed Graffiti | Recoil PP-Bizon (Cash Green),,d2d2d2,8.21,4.83,1,LOW_SALES_3PLUS_MONTHS,5.0,0,0,2,24,,,,,,0,0
9233,Sealed Graffiti | Recoil PP-Bizon (Jungle Green),b0c3d9,d2d2d2,10.0,6.83,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,0,27,,graffiti,sealed graffiti,base grade,normal,0,0
9234,Sealed Graffiti | Recoil PP-Bizon (Monarch Blue),b0c3d9,d2d2d2,3.06,3.25,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,0,13,,graffiti,sealed graffiti,base grade,normal,0,0
9235,Sealed Graffiti | Recoil PP-Bizon (Monster Purple),,d2d2d2,2.71,2.35,1,LOW_SALES_3PLUS_MONTHS,15.0,0,0,4,45,,,,,,0,0
9236,Sealed Graffiti | Recoil PP-Bizon (SWAT Blue),,d2d2d2,3.15,1.6600000000000001,1,LOW_SALES_3PLUS_MONTHS,12.0,0,0,1,11,,,,,,0,0
9237,Sealed Graffiti | Recoil PP-Bizon (Tiger Orange),b0c3d9,d2d2d2,4.25,2.31,1,LOW_SALES_3PLUS_MONTHS,4.0,0,3,7,18,,graffiti,sealed graffiti,base grade,normal,0,0
9238,Sealed Graffiti | Recoil PP-Bizon (Tracer Yellow),,d2d2d2,3.46,2.7800000000000002,1,LOW_SALES_3PLUS_MONTHS,5.0,0,0,2,38,,,,,,0,0
9239,Sealed Graffiti | Recoil PP-Bizon (Wire Blue),b0c3d9,d2d2d2,2.73,1.3,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,0,12,,graffiti,sealed graffiti,base grade,normal,0,0
9240,Sealed Graffiti | Recoil SG 553 (Cash Green),,d2d2d2,2.5,1.65,1,LOW_SALES_3PLUS_MONTHS,8.0,0,0,4,25,,,,,,0,0
9241,Sealed Graffiti | Recoil SG 553 (Desert Amber),,d2d2d2,2.32,1.9500000000000002,1,LOW_SALES_3PLUS_MONTHS,7.0,0,1,5,29,,,,,,0,0
9242,Sealed Graffiti | Recoil SG 553 (Dust Brown),b0c3d9,d2d2d2,19.11,7.62,1,LOW_SALES_3PLUS_MONTHS,6.0,0,0,3,16,,graffiti,sealed graffiti,base grade,normal,0,0
9243,Sealed Graffiti | Recoil SG 553 (Jungle Green),b0c3d9,d2d2d2,4.16,2.03,1,LOW_SALES_3PLUS_MONTHS,17.0,0,1,5,32,,graffiti,sealed graffiti,base grade,normal,0,0
9244,Sealed Graffiti | Recoil SG 553 (Shark White),b0c3d9,d2d2d2,4.77,3.89,1,LOW_SALES_3PLUS_MONTHS,9.0,0,0,3,36,,graffiti,sealed graffiti,base grade,normal,0,0
9245,Sealed Graffiti | Recoil SG 553 (War Pig Pink),b0c3d9,d2d2d2,3.45,1.03,1,LOW_SALES_3PLUS_MONTHS,8.0,0,0,3,23,,graffiti,sealed graffiti,base grade,normal,0,0
9246,Sealed Graffiti | Recoil UMP-45 (Battle Green),,d2d2d2,9.17,3.4,1,LOW_SALES_3PLUS_MONTHS,8.0,0,0,2,24,,,,,,0,0
9247,Sealed Graffiti | Recoil UMP-45 (Bazooka Pink),b0c3d9,d2d2d2,4.09,3.98,1,LOW_SALES_3PLUS_MONTHS,9.0,0,0,3,6,,graffiti,sealed graffiti,base grade,normal,0,0
9248,Sealed Graffiti | Recoil UMP-45 (Desert Amber),b0c3d9,d2d2d2,3.22,2.64,1,LOW_SALES_3PLUS_MONTHS,11.0,0,0,0,16,,graffiti,sealed graffiti,base grade,normal,0,0
9249,Sealed Graffiti | Recoil UMP-45 (Dust Brown),b0c3d9,d2d2d2,6.27,5.7,1,LOW_SALES_3PLUS_MONTHS,3.0,0,1,3,18,,graffiti,sealed graffiti,base grade,normal,0,0
9250,Sealed Graffiti | Recoil UMP-45 (Jungle Green),,d2d2d2,3.6,0.99,1,LOW_SALES_3PLUS_MONTHS,10.0,0,0,3,16,,,,,,0,0
9251,Sealed Graffiti | Recoil UMP-45 (Monster Purple),,d2d2d2,5.48,3.17,1,LOW_SALES_3PLUS_MONTHS,7.0,0,0,2,5,,,,,,0,0
9252,Sealed Graffiti | Recoil UMP-45 (Princess Pink),,d2d2d2,2.77,2.67,1,LOW_SALES_3PLUS_MONTHS,12.0,0,0,3,7,,,,,,0,0
