,markethashname,color,bordercolor,pricelatest,pricelatestsell,unstable,unstablereason,offervolume,sold24h,sold7d,sold30d,sold90d,wear,itemgroup,itemtype,rarity,quality,isstattrack,isstar
3101,★ StatTrak™ Stiletto Knife | Night Stripe (Minimal Wear),eb4b4b,8650ac,416.89,227.49,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,1.0,1.0,4.0,mw,knife,stiletto knife,covert,unusual,1,1
3102,★ StatTrak™ Stiletto Knife | Night Stripe (Well-Worn),,8650ac,181.13,184.0,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,1.0,ww,,,,,1,1
3103,★ StatTrak™ Stiletto Knife | Rust Coat (Battle-Scarred),eb4b4b,8650ac,266.4,219.31,1,LOW_SALES_3PLUS_MONTHS,3.0,3.0,10.0,30.0,92.0,bs,knife,stiletto knife,covert,unusual,1,1
3104,★ StatTrak™ Stiletto Knife | Rust Coat (Well-Worn),,8650ac,302.97,209.29,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,1.0,1.0,ww,,,,,1,1
3105,★ StatTrak™ Stiletto Knife | Safari Mesh (Battle-Scarred),eb4b4b,8650ac,208.88,178.07,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,2.0,7.0,bs,knife,stiletto knife,covert,unusual,1,1
3106,★ StatTrak™ Stiletto Knife | Safari Mesh (Factory New),eb4b4b,8650ac,231.08,233.61,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,0.0,fn,knife,stiletto knife,covert,unusual,1,1
3107,★ StatTrak™ Stiletto Knife | Safari Mesh (Field-Tested),eb4b4b,8650ac,200.16,175.02,1,LOW_SALES_3PLUS_MONTHS,5.0,0.0,0.0,8.0,28.0,ft,knife,stiletto knife,covert,unusual,1,1
3108,★ StatTrak™ Stiletto Knife | Safari Mesh (Minimal Wear),eb4b4b,8650ac,254.24,171.67,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,0.0,0.0,3.0,mw,knife,stiletto knife,covert,unusual,1,1
3109,★ StatTrak™ Stiletto Knife | Safari Mesh (Well-Worn),,8650ac,215.0,185.86,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,1.0,4.0,ww,,,,,1,1
3110,★ StatTrak™ Stiletto Knife | Scorched (Battle-Scarred),,8650ac,171.32,171.09,1,LOW_SALES_3PLUS_MONTHS,,0.0,0.0,1.0,4.0,bs,,,,,1,1
3111,★ StatTrak™ Stiletto Knife | Scorched (Factory New),eb4b4b,8650ac,273.03,775.01,1,NO_SALES_3PLUS_MONTHS,,0.0,0.0,0.0,1.0,fn,knife,stiletto knife,covert,unusual,1,1
3112,★ StatTrak™ Stiletto Knife | Scorched (Field-Tested),eb4b4b,8650ac,369.73,218.74,1,LOW_SALES_3PLUS_MONTHS,1.0,0.0,1.0,6.0,26.0,ft,knife,stiletto knife,covert,unusual,1,1
3113,★ StatTrak™ Stiletto Knife | Scorched (Minimal Wear),eb4b4b,8650ac,431.73,301.78,1,LOW_SALES_3PLUS_MONTHS,2.0,0.0,0.0,0.0,4.0,mw,knife,stiletto knife,covert,unusual,1,1
3114,★ StatTrak™ Stiletto Knife | Scorched (Well-Worn),eb4b4b,8650ac,219.9,100.0,1,NO_SALES_3PLUS_MONTHS,1.0,0.0,0.0,1.0,4.0,ww,knife,stiletto knife,covert,unusual,1,1
3115,★ StatTrak™ Stiletto Knife | Slaughter (Factory New),eb4b4b,8650ac,998.93,866.62,1,LOW_SALES_3PLUS_MONTHS,3.0,0.0,0.0,1.0,6.0,fn,knife,stiletto knife,covert,unusual,1,1
